protein1,protein2,in_solution,cost
XRCC1,PARP1,True,0.103422
XRCC1,PCNA,,0.279725
XRCC1,TP53,,0.598835
XRCC1,S100A16,True,0.654948
HNF4A,ESR1,,0.73985
HNF4A,NCOR2,,0.561127
HNF4A,NR3C1,,0.598835
HNF4A,AR,,0.73224
HNF4A,TP53,,0.561127
HNF4A,CREBBP,,0.111614
HNF4A,NCOA1,,0.594442
HNF4A,SMAD4,,0.561127
HNF4A,PPARGC1A,True,0.120196
HNF4A,HDAC3,,0.561127
HNF4A,VDR,,0.598835
HNF4A,SMAD3,,0.45648
HNF4A,CTNNB1,,0.45648
HNF4A,SP1,,0.391484
HNF4A,SIRT1,,0.598835
FST,FSTL1,True,0.561127
VWA5A,CD1A,True,0.654948
MUC1,ESR1,,0.45648
MUC1,IKBKB,True,0.501461
MUC1,TP53,,0.429349
MUC1,CEBPB,True,0.537305
MUC1,PPARG,True,0.388868
MUC1,JUN,,0.598835
MUC1,GRB2,,0.328233
MUC1,EP300,,0.598835
MUC1,HIF1A,,0.598835
MUC1,CTNNB1,True,0.0472643
RUNX2,AR,,0.85922
RUNX2,TP53,,0.598835
RUNX2,CEBPB,,0.830932
RUNX2,CREBBP,,0.598835
RUNX2,JUN,,0.267119
RUNX2,STAT3,,0.598835
RUNX2,LEF1,,0.85922
RUNX2,EP300,,0.298244
RUNX2,MSX2,True,0.598835
RUNX2,HIF1A,True,0.45648
RUNX2,HDAC1,,0.279234
RUNX2,ETS1,,0.561127
RUNX2,HDAC3,,0.332937
RUNX2,RB1,,0.598835
RUNX2,SMAD3,True,0.249941
RUNX2,FOS,True,0.267119
RUNX2,SOX9,True,0.561127
PAPPA,PLG,True,0.561127
PAPPA,SKIL,True,0.594442
PAPPA,SMAD3,True,0.594442
PAPPA,ATF7IP,True,0.553316
LILRB2,HLA-B,True,0.484455
LILRB2,ANGPTL2,True,0.561127
LILRB2,PTPN6,True,0.402371
PTPN6,ESR1,,0.561127
PTPN6,CLEC4A,True,0.830932
PTPN6,GRB2,,0.286657
PTPN6,SMAD3,,0.598835
PTPN6,PDGFRB,,0.561127
PTPN6,CTNNB1,,0.765937
PTPN6,IL4R,True,0.47326
PTPN6,STAT6,,0.85922
PTPN6,KDR,,0.598835
ELF4,SKP2,True,0.449051
ELF4,RUNX1,True,0.45648
TGFBI,FAM9B,True,0.392016
SERPINF2,PLG,True,0.376967
SERPINF2,TGM2,True,0.794225
PPARGC1A,ESR1,,0.561127
PPARGC1A,PPARA,,0.561127
PPARGC1A,NR3C1,,0.464597
PPARGC1A,NFKB1,,0.598835
PPARGC1A,TP53,,0.45648
PPARGC1A,PPARG,True,0.0389345
PPARGC1A,CREBBP,,0.45648
PPARGC1A,ESR2,,0.594442
PPARGC1A,NCOA1,,0.45648
PPARGC1A,RELA,,0.410771
PPARGC1A,EP300,,0.598835
PPARGC1A,RXRA,,0.398358
PPARGC1A,SIRT1,,0.364353
PPARGC1A,USF2,,0.830932
TNXB,PCOLCE,True,0.441963
KLF8,PARP1,True,0.429349
KLF8,CREBBP,,0.598835
KLF8,EP300,True,0.598835
TFCP2,HDAC2,True,0.561127
TFCP2,HDAC1,,0.561127
TFCP2,NFE4,True,0.271915
ATF4,NFKBIA,True,0.492989
ATF4,CEBPB,,0.85922
ATF4,ATF2,,0.561127
ATF4,CREBBP,,0.391484
ATF4,JUN,True,0.1715
ATF4,RELA,,0.598835
ATF4,EP300,,0.233609
ATF4,LDOC1,,0.274641
ATF4,FOSL1,True,0.391484
ATF4,CEBPD,,0.85922
ATF4,FOS,,0.245755
ATF4,CEBPA,,0.484455
ATF4,BTRC,True,0.115535
ATF4,TGM2,True,0.594442
TGM2,LTBP1,,0.85922
TGM2,PCOLCE,,0.441963
TGM2,RELA,,0.537305
TGM2,RB1,,0.585069
TGM2,SMAD3,,0.594442
BTRC,NCOR2,,0.598835
BTRC,SKP2,,0.45648
BTRC,MYB,,0.85922
BTRC,NFKB1,,0.123568
BTRC,NFKBIA,True,0.016534
BTRC,IKBKB,,0.298244
BTRC,TP53,,0.410771
BTRC,CHUK,,0.561127
BTRC,SMAD4,,0.144906
BTRC,RELA,,0.598835
BTRC,EP300,,0.598835
BTRC,E2F1,,0.561127
BTRC,SMAD3,,0.598835
BTRC,CTNNB1,,0.0146852
BTRC,UHRF1,,0.45648
BTRC,CDC20,,0.598835
BTRC,SP1,,0.561127
EIF1B,ANXA2,True,0.598835
EIF1B,PCNA,,0.598835
EIF1B,MXRA5,True,0.598835
S100A11,HLA-B,True,0.598835
S100A11,ATF2,True,0.598835
S100A11,S100B,True,0.369885
REV1,MAD2L2,True,0.0376229
REV1,PCNA,,0.332937
REV1,POLH,True,0.0501302
REV1,RELA,,0.598835
GLI1,HDAC2,,0.598835
GLI1,SMAD4,True,0.598835
GLI1,HDAC1,,0.598835
SKIL,ESR1,,0.45648
SKIL,NCOR2,,0.381977
SKIL,SKI,,0.202977
SKIL,SMAD4,True,0.120196
SKIL,HDAC1,,0.598835
SKIL,TSKU,True,0.594442
SKIL,RB1,,0.598835
SKIL,SMAD3,,0.0715666
