,prize,Category,terminal,type,degree,betweenness,louvain_clusters,location,general_process,specific_process,general_function,specific_function
XRCC1,0.0,,False,protein,47,0.010582010582010581,0,nucleus,response to stimulus,response to stress,binding,protein binding
HNF4A,3.94365,TF,True,protein,78,0.0007759330318289535,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
FST,3.7307,Secreted Factors,True,protein,16,0.0,2,extracellular,biological regulation,regulation of biological process,binding,protein binding
VWA5A,3.1900000000000004,ECM Glycoproteins,True,protein,1,0.0,2,,,,,
MUC1,2.7462,ECM-affiliated Proteins,True,protein,41,0.0014498017313615019,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
RUNX2,4.396175,TF,True,protein,56,0.0029318986345858323,3,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
PAPPA,6.9658,ECM Regulators,True,protein,11,0.0015717783228526019,2,extracellular,metabolic process,nitrogen compound metabolic process,catalytic,hydrolase
LILRB2,0.0,,False,protein,9,0.011049723756906079,5,endomembrane,biological regulation,regulation of biological process,binding,protein binding
PTPN6,0.0,,False,protein,111,0.0408287444746796,5,extracellular,biological regulation,regulation of biological process,binding,protein binding
ELF4,4.039199999999999,TF,True,protein,10,0.0,6,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
TGFBI,2.8501,ECM Glycoproteins,True,protein,11,0.0,1,extracellular,cellular process,cellular component organization,binding,protein binding
SERPINF2,3.0616000000000003,ECM Regulators,True,protein,18,0.00013772318831359017,2,extracellular,biological regulation,regulation of biological process,molecular function regulator,enzyme regulator
PPARGC1A,0.0,,False,protein,64,0.001305847900421126,5,nucleus,biological regulation,regulation of biological process,binding,protein binding
TNXB,2.2471,ECM Glycoproteins,True,protein,6,0.0,2,extracellular,cellular process,cellular component organization,binding,protein binding
KLF8,2.56605,TF,True,protein,7,0.0,4,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
TFCP2,6.48185,TF,True,protein,92,4.036683594694645e-05,3,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
ATF4,3.7843,TF,True,protein,77,0.01253284692578802,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
TGM2,2.2389,ECM Regulators,True,protein,89,0.016012315986469156,2,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
BTRC,0.0,,False,protein,173,0.004518981155440901,4,protein complex,cellular process,cellular response to stimulus,catalytic,transferase
EIF1B,0.0,,False,protein,168,0.011049723756906079,2,,biological regulation,regulation of biological process,binding,organic cyclic compound binding
S100A11,3.8778,Secreted Factors,True,protein,17,0.0,1,extracellular,biological regulation,regulation of biological process,binding,protein binding
