,prize,Category,terminal,type,degree,betweenness,louvain_clusters,location,general_process,specific_process,general_function,specific_function
PAX5,5.938649999999999,TF,True,protein,14,0.00015766447980428467,1,nucleus,multicellular organismal process,multicellular organism development,transcription regulator,DNA-binding transcription factor
MUC1,2.3551,ECM-affiliated Proteins,True,protein,41,0.026188493276731457,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
RUNX2,3.193633333333333,TF,True,protein,56,0.002752771403381079,1,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
ANXA3,4.7108,ECM-affiliated Proteins,True,protein,13,0.0,1,vesicle,biological regulation,regulation of biological process,binding,ion binding
LILRB2,0.0,,False,protein,9,0.012658227848101266,0,endomembrane,biological regulation,regulation of biological process,binding,protein binding
PTPN6,0.0,,False,protein,111,0.03139978781622647,0,extracellular,biological regulation,regulation of biological process,binding,protein binding
TGFBI,4.1644,ECM Glycoproteins,True,protein,11,0.0002557224070076851,7,extracellular,cellular process,cellular component organization,binding,protein binding
STAT1,3.3506625,TF,True,protein,170,0.0239239564137423,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
IRF1,2.72704,TF,True,protein,37,0.0001729229550601077,4,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
KLF8,2.6348500000000006,TF,True,protein,7,0.0,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
TFCP2,4.84855,TF,True,protein,92,0.002089849635859303,4,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
ATF4,3.0648500000000003,TF,True,protein,77,0.0054085599602003015,1,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
BTRC,0.0,,False,protein,173,0.004782952859101206,1,protein complex,cellular process,cellular response to stimulus,catalytic,transferase
DMBT1,0.0,,False,protein,7,0.013071895424836602,2,vesicle,response to stimulus,response to stress,binding,protein binding
EIF1B,0.0,,False,protein,168,0.012939025642403857,2,,biological regulation,regulation of biological process,binding,organic cyclic compound binding
CXCR2,0.0,,False,protein,22,0.013071895424836602,1,plasma_membrane,response to stimulus,response to chemical,molecular transducer,signaling receptor
TAF11,0.0,,False,protein,31,0.025971792225662194,1,nucleus,metabolic process,nitrogen compound metabolic process,binding,protein binding
KLF4,3.971966666666667,TF,True,protein,23,2.1379755477430546e-05,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
TWIST1,5.5995,TF,True,protein,33,0.004055356570310078,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
ADAM9,2.0113000000000003,ECM Regulators,True,protein,13,0.0,5,plasma_membrane,response to stimulus,response to chemical,binding,protein binding
GLI1,4.350266666666666,TF,True,protein,24,2.7771058973187484e-05,4,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
ADAMTSL3,2.607,ECM Regulators,True,protein,6,0.0,6,organelle,metabolic process,nitrogen compound metabolic process,binding,protein binding
ERG,5.07645,TF,True,protein,81,0.0010594525239220709,1,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
