protein1,protein2,in_solution,cost
TBX21,CREBBP,,0.598835
TBX21,EP300,,0.598835
TBX21,SP1,True,0.598835
PTPRC,SEMA4D,True,0.598835
PTPRC,LGALS1,True,0.441963
PTPRC,GRB2,,0.830932
PTPRC,PTPN6,,0.794225
PTPRC,JAK2,,0.85922
PTPRC,MET,,0.561127
PTPRC,PDGFRB,,0.561127
RUNX2,TP53,,0.598835
RUNX2,CEBPB,,0.830932
RUNX2,CREBBP,,0.598835
RUNX2,JUN,True,0.267119
RUNX2,STAT3,,0.598835
RUNX2,EP300,,0.298244
RUNX2,HIF1A,True,0.45648
RUNX2,HDAC1,,0.279234
RUNX2,HDAC3,,0.332937
RUNX2,RB1,,0.598835
RUNX2,SMAD3,True,0.249941
RUNX2,FOS,,0.267119
RUNX2,HDAC5,True,0.410771
RUNX2,BMPR1A,True,0.598835
RUNX2,CBFB,True,0.598835
LILRB2,ANGPTL2,True,0.561127
LILRB2,PTPN6,True,0.402371
PTPN6,KDR,,0.598835
PTPN6,GRB2,,0.286657
PTPN6,STAT5B,,0.585069
PTPN6,CD72,True,0.176906
PTPN6,SMAD3,,0.598835
PTPN6,JAK2,,0.402371
PTPN6,STAT6,,0.85922
PTPN6,PDGFRB,,0.561127
CD72,SEMA4D,True,0.391484
CD72,GRB2,,0.85922
TGFBI,FAM9B,True,0.392016
TGFBI,FN1,,0.561127
COL20A1,FAM9B,True,0.443583
STAT1,KDR,,0.830932
STAT1,CREBBP,True,0.0646551
STAT1,JUN,,0.585069
STAT1,IRF1,True,0.322417
STAT1,STAT3,True,0.298244
STAT1,BRCA1,,0.388167
STAT1,RELA,,0.598835
STAT1,EP300,,0.0802848
STAT1,STAT5B,,0.830932
STAT1,HDAC1,,0.598835
STAT1,HDAC3,,0.598835
STAT1,ATF3,,0.45648
STAT1,FOS,,0.410771
STAT1,JAK2,True,0.157974
STAT1,CASP3,,0.561127
STAT1,TRIM28,,0.410771
STAT1,PDGFRB,,0.598835
STAT1,NMI,,0.549451
IRF1,NFKB1,,0.85922
IRF1,CREBBP,,0.561127
IRF1,TRAF3,,0.45648
IRF1,RELA,,0.85922
IRF1,EP300,True,0.210129
IRF1,SPI1,True,0.376967
IRF1,TRIM28,True,0.323872
WT1,TP53,,0.391484
WT1,CREBBP,,0.830932
WT1,EGR1,True,0.561127
TWIST2,TWIST1,True,0.598835
TWIST2,TP53,,0.598835
TWIST2,ETS2,True,0.409355
TNXB,PCOLCE,True,0.441963
TFCP2,HDAC2,True,0.561127
TFCP2,HDAC1,,0.561127
